2017/11/01	      HSBC	AUD	22.92497	23.59597
2017/11/01	      HSBC	NZD	       -	       -
2017/11/01	      HSBC	HKD	  3.7416	 3.99524
2017/11/01	      HSBC	CAD	       -	       -
2017/11/01	      HSBC	SGD	       -	       -
2017/11/01	      HSBC	CHF	       -	       -
2017/11/01	      HSBC	JPY	0.2587903	0.2702066
2017/11/01	      HSBC	SEK	       -	       -
2017/11/01	      HSBC	ZAR	       -	       -
2017/11/01	      HSBC	CNY	 4.44699	 4.69256
2017/11/05	       BOT	USD	   29.85	  30.392
2017/11/05	       BOT	HKD	    3.72	   3.915
2017/11/05	       BOT	GBP	   38.43	   40.36
2017/11/05	       BOT	AUD	   22.81	   23.47
2017/11/05	       BOT	CAD	   23.27	   24.01
2017/11/05	       BOT	SGD	   21.63	   22.41
2017/11/05	       BOT	CHF	    29.5	   30.56
2017/11/05	       BOT	JPY	  0.2559	  0.2669
2017/11/05	       BOT	ZAR	       -	       -
2017/11/05	       BOT	SEK	     3.2	    3.71
2017/11/05	       BOT	NZD	   20.47	    21.1
2017/11/05	       BOT	THB	  0.8072	  0.9502
2017/11/05	       BOT	PHP	  0.5401	  0.6731
2017/11/05	       BOT	IDR	 0.00188	 0.00258
2017/11/05	       BOT	EUR	   34.38	   35.53
2017/11/05	       BOT	KRW	 0.02529	 0.02919
2017/11/05	       BOT	VND	 0.00096	 0.00146
2017/11/05	       BOT	MYR	    6.06	    7.63
2017/11/05	       BOT	CNY	   4.453	   4.615
2017/11/05	CT	 USD	  30.001	  30.401
2017/11/05	CT	 JPY	   .2606	   .2676
2017/11/05	CT	 CNY	   4.384	    4.59
2017/11/05	CT	 HKD	   3.801	   3.941
2017/11/05	CT	 EUR	  34.582	  35.582
2017/11/05	CT	 AUD	     nan	     nan
2017/11/05	CT	 GBP	     nan	     nan
2017/11/05	CT	 CAD	     nan	     nan
2017/11/05	CT	 NZD	     nan	     nan
2017/11/05	CT	 ZAR	     nan	     nan
2017/11/05	CT	 SGD	     nan	     nan
2017/11/05	CT	 CHF	     nan	     nan
2017/11/05	CT	 SEK	     nan	     nan
2017/11/05	CT	 THB	     nan	     nan
2017/11/05	CT	 IDR	     nan	     nan
2017/11/05	CT	 INR	     nan	     nan
2017/11/05	CT	 MYR	     nan	     nan
2017/11/05	CT	 PHP	     nan	     nan
2017/11/05	CT	 VND	     nan	     nan
2017/11/05	CT	 KRW	     nan	     nan
2017/11/05	      ES	USD	   30.15	   30.25
2017/11/05	      ES	HKD	   3.841	   3.901
2017/11/05	      ES	JPY	  0.2621	  0.2661
